run,pattern,uptake_factor,peak_ngu,auc_ngu_ms,excess_auc_ngu_ms,time_above_ms,near_saturation_ms,clearance_ms
0,Tonic,0.5,1.6006102682629901,543.0757367557509,24.65878220049548,142.0,0.0,69.0
1,Tonic,0.5,1.602550986791405,573.3051872472893,29.66549068274449,159.0,0.0,71.5
2,Tonic,0.5,1.7565219340430245,648.9898068916501,50.86458620055306,228.75,0.0,74.0
3,Tonic,0.5,1.787811340848429,606.8372613224299,39.728425546185484,190.5,0.0,69.5
4,Tonic,0.5,1.8174001028313853,632.485042859794,49.52221006647479,213.25,0.0,67.25
5,Tonic,0.5,1.6292657665550734,637.2550926234322,45.568251590828766,223.0,0.0,65.75
6,Tonic,0.5,1.5365821635434265,552.2309419631911,24.477515800955082,140.25,0.0,70.0
7,Tonic,0.5,1.6787043120094305,582.3791791072802,32.11874895140713,171.75,0.0,68.0
8,Tonic,0.5,1.640793607742247,641.8698557170376,46.0936467507394,223.25,0.0,74.25
9,Tonic,0.5,1.477962172414693,579.4640814080285,25.669266697136152,162.75,0.0,72.0
10,Tonic,0.5,1.5800647843565305,619.1675409691622,39.90897539982111,202.0,0.0,74.25
11,Tonic,0.5,1.601721892519845,643.2141505608412,47.44100702358814,225.5,0.0,70.75
12,Tonic,0.5,1.915371627162097,692.4512695002842,68.5761950339738,267.0,0.0,79.25
13,Tonic,0.5,2.0058392978636124,636.1715067639273,50.80150537620727,219.75,0.25,63.25
14,Tonic,0.5,1.5646867578469101,631.5807564793613,40.86899980814862,217.0,0.0,65.75
15,Tonic,0.5,1.895956093927003,616.1855738898328,43.71994976941203,193.25,0.0,76.25
16,Tonic,0.5,1.4963459477620857,595.8916820968916,33.51706762518693,186.75,0.0,69.5
17,Tonic,0.5,1.5956032420048194,591.8712100164155,34.147001790382895,178.25,0.0,75.5
18,Tonic,0.5,1.6714450589371812,642.168448321791,49.050925659964335,229.75,0.0,68.75
19,Tonic,0.5,1.7718163301232517,608.5245609562745,42.158523444214815,199.0,0.0,68.25
20,Tonic,0.5,1.5595769042037142,586.041124526512,29.19256063674993,170.75,0.0,65.0
21,Tonic,0.5,1.9093642839725928,676.1865305166568,64.85542485352974,254.5,0.0,72.0
22,Tonic,0.5,1.5137718877170698,596.6341332566362,34.8959550095474,186.75,0.0,56.75
