model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Transporter-state,0.10496149204995453,0.08,0.9956902081241136
Transporter-state,0.1261914688960387,0.08,0.9967426198171953
Transporter-state,0.15171551500583677,0.08,0.9975042353147521
Transporter-state,0.18240216787118196,0.08,0.9980857305800663
Transporter-state,0.21929563922863704,0.08,0.9985446677691253
Transporter-state,0.2636513477112815,0.08,0.9989095039721203
Transporter-state,0.3169786384922227,0.08,0.9991952975932367
Transporter-state,0.38109214359264953,0.08,0.9994135683377856
Transporter-state,0.45817353055355475,0.08,0.9995759984057854
Transporter-state,0.5508457406676333,0.08,0.9996943089839394
Transporter-state,0.6622622429651823,0.08,0.9997791278010003
Transporter-state,0.7962143411069947,0.08,0.9998392578065868
Transporter-state,0.9572601846452766,0.08,0.9998815399214481
Transporter-state,1.150879874674314,0.08,0.9999110731897061
Transporter-state,1.3836619418378735,0.08,0.9999315617273492
Transporter-state,1.663527542205342,0.08,0.9999456578470729
Transporter-state,2.0,0.08,0.9999552475289799
Linear,0.02,0.09618115476939304,1.0000000000000018
Linear,0.024045288692348264,0.09618115476939304,0.9999999999999973
Linear,0.02890879541491855,0.09618115476939304,1.0000000000000036
Linear,0.03475601657498751,0.09618115476939304,1.0000000000000044
Linear,0.0417859226170808,0.09618115476939304,1.0000000000000027
Linear,0.050237728630191596,0.09618115476939304,0.9999999999999997
Linear,0.06039903440804033,0.09618115476939304,1.0000000000000027
Linear,0.07261561095402029,0.09618115476939304,0.9999999999999981
Linear,0.08730316644803322,0.09618115476939304,1.0000000000000007
Linear,0.10496149204995453,0.09618115476939304,0.999999999999998
Linear,0.1261914688960387,0.09618115476939304,1.0000000000000022
Linear,0.15171551500583677,0.09618115476939304,0.9999999999999951
Linear,0.18240216787118196,0.09618115476939304,0.9999999999999968
Linear,0.21929563922863704,0.09618115476939304,1.0000000000000033
Linear,0.2636513477112815,0.09618115476939304,0.9999999999999992
Linear,0.3169786384922227,0.09618115476939304,1.0000000000000058
Linear,0.38109214359264953,0.09618115476939304,1.0000000000000009
Linear,0.45817353055355475,0.09618115476939304,1.0000000000000009
Linear,0.5508457406676333,0.09618115476939304,0.9999999999999979
Linear,0.6622622429651823,0.09618115476939304,1.0000000000000013
Linear,0.7962143411069947,0.09618115476939304,0.9999999999999991
Linear,0.9572601846452766,0.09618115476939304,0.9999999999999987
Linear,1.150879874674314,0.09618115476939304,0.9999999999999967
Linear,1.3836619418378735,0.09618115476939304,1.0000000000000064
Linear,1.663527542205342,0.09618115476939304,1.0000000000000013
Linear,2.0,0.09618115476939304,0.9999999999999999
Michaelis-Menten,0.02,0.09618115476939304,1.0026098647287949
Michaelis-Menten,0.024045288692348264,0.09618115476939304,1.003039475947009
Michaelis-Menten,0.02890879541491855,0.09618115476939304,1.0035116859739293
Michaelis-Menten,0.03475601657498751,0.09618115476939304,1.0040151348199067
Michaelis-Menten,0.0417859226170808,0.09618115476939304,1.004527245038444
Michaelis-Menten,0.050237728630191596,0.09618115476939304,1.0050081465298046
Michaelis-Menten,0.06039903440804033,0.09618115476939304,1.0053920134211705
Michaelis-Menten,0.07261561095402029,0.09618115476939304,1.0055751848878702
Michaelis-Menten,0.08730316644803322,0.09618115476939304,1.0054009380667277
Michaelis-Menten,0.10496149204995453,0.09618115476939304,1.004642491323971
Michaelis-Menten,0.1261914688960387,0.09618115476939304,1.0029903897773382
