run,model,pattern,release_cv,isi_cv,minimum_isi_ms,gamma_shape,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
58,Linear,Renewal,0.0,0.6383693534642121,8.142030785277086,1.8446084250880919,0.2500000000463704,1.8667690465374933,1.2036138752336001e-12,1.68,1.0
59,Linear,Renewal,0.0,0.9062153526846602,0.13597884775526836,0.6240729683627626,0.4200451870543058,1.8667690465374964,0.016416419358328226,1.68,1.0
60,Linear,Renewal,0.0,0.3177970231224824,23.02169081657712,9.839610495551531,0.25,1.8667690465374907,0.0,1.68,1.0
61,Linear,Renewal,0.0,0.49540964669437304,9.935548041783932,3.0862595414852536,0.2500000000003268,1.8667690465374918,6.535882945968297e-15,1.68,1.0
62,Linear,Renewal,0.0,1.7141318358547046,4.004611895425114e-06,0.30552179160413434,1.0143870410334976,1.866769046537498,0.233673755973955,1.68,1.0
63,Linear,Renewal,0.0,0.3386259114373363,24.239804546424125,10.145686381100177,0.25,1.8667690465374907,0.0,1.68,1.0
64,Linear,Renewal,0.0,0.23445972695870448,25.345792580638715,15.89552725943058,0.25,1.8667690465374907,0.0,1.68,1.0
65,Linear,Renewal,0.0,0.4233541919961189,16.661641075433863,4.343842124937703,0.25,1.8667690465374907,0.0,1.68,1.0
66,Linear,Renewal,0.0,0.336235870817395,18.081231738291592,14.648005991309786,0.25,1.8667690465374907,0.0,1.68,1.0
67,Linear,Renewal,0.0,1.2596426949996382,0.3426030759951004,0.6387884125198385,0.3867144965729391,1.8667690465374942,0.01808984548580589,1.68,1.0
68,Linear,Renewal,0.0,0.4115524905538558,9.314385910061617,3.4424951544009437,0.25000000000180095,1.8667690465374915,3.6018965587913954e-14,1.68,1.0
69,Linear,Renewal,0.0,0.7011854145733064,3.968501314499349,1.6231859464753795,0.2500046089265302,1.8667690465374926,1.691731364505955e-07,1.68,1.0
70,Linear,Renewal,0.0,0.7690082543754795,11.650707208074095,1.558916306416324,0.2500000000000029,1.8667690465374926,1.1102230246251565e-16,1.68,1.0
71,Linear,Renewal,0.0,0.26681379961244034,24.606236784591346,19.762647678317368,0.25,1.8667690465374907,0.0,1.68,1.0
72,Linear,Renewal,0.0,0.3193164878080382,20.549369870310443,11.559032413587136,0.25,1.8667690465374907,0.0,1.68,1.0
73,Linear,Renewal,0.0,0.4120133645000614,18.299811293801895,6.965840538128453,0.25,1.8667690465374907,0.0,1.68,1.0
74,Linear,Renewal,0.0,0.932260967000882,0.05537680872953388,0.8511402300727664,0.4890161855328774,1.8667690465374918,0.028738949854507184,1.68,1.0
75,Linear,Renewal,0.0,1.1258589767918628,1.8049117670670967e-05,0.6539296501199328,0.5406334132220215,1.8667690465374962,0.04132482433298609,1.68,1.0
76,Linear,Renewal,0.0,0.6198688740983384,6.655245537888732,1.9269964337875483,0.2500000028810537,1.866769046537493,5.762119781316244e-11,1.68,1.0
77,Linear,Renewal,0.0,1.3008566610609777,2.9345028219472624,1.0793054238388113,0.25008071641490953,1.866769046537492,1.614337552097167e-06,1.68,1.0
78,Linear,Renewal,0.0,1.6478002527150228,1.5790230222023638e-05,0.28273842285025447,0.5744564294887954,1.866769046537496,0.16020673188204967,1.7,1.0
79,Linear,Renewal,0.0,1.904170796368869,0.004138653873269504,0.26128868251360504,0.498391443045911,1.866769046537501,0.07953982931479345,1.68,1.0
80,Linear,Renewal,0.0,1.7324804515045156,0.0002997400276854023,0.286446239124162,0.8883844965747381,1.8667690465375049,0.2266110455089599,1.94,1.0
81,Linear,Renewal,0.0,0.9634123877296611,1.4853381333212496,0.9198778869543464,0.25404101115053357,1.8667690465374958,0.00010228929140495558,1.68,1.0
