parameter_set,capacity_km,k_bind_per_km_ms,k_unbind_per_ms,k_translocate_per_ms,recovery_tau_ms,pulse_size_over_km,k_loss_per_ms,peak_ratio_burst_tonic,auc_ratio_burst_tonic,clearance_ratio_burst_tonic
73,0.5844186804431275,4.365359781109945,1.3759901127519416,5.37687253033225,16.16284391649578,0.6536681304870651,0.0020342629343199897,1.003824612126684,2.245352362755112,1.8254901960784313
74,1.1952811834429324,4.563395940580843,1.4603763527493927,2.7630114282984435,31.36341751422675,0.19119240580067587,0.0012284799568411265,1.0000000000000002,1.0673892518875465,1.1311475409836067
75,1.045499675105678,11.12874154100269,0.8554839595008522,7.37651876088594,20.456804915614466,0.31073365017031945,0.00061013592270386,1.0,1.1169004934843292,1.1666666666666667
76,0.9350969667366298,6.440566052854326,0.7503077482039529,2.9579310932366054,17.35646999639233,0.38436065863803864,0.004930180478367398,1.0,1.1609366586609564,1.2428571428571427
77,0.9767564097032639,4.8940473348980325,0.7391095163881389,7.025174116306376,24.314334039017737,0.4229234878187627,0.0011591003535049587,1.0,1.2864330854668333,1.6103896103896103
78,0.7306115403497753,7.400512434778417,0.6762298665818246,3.2907631918914486,11.859234460997769,0.42892758374194756,0.001973421748342675,1.0,1.1570932492791801,1.215909090909091
79,1.2138120553304659,4.166084454181722,1.8120921163926291,2.825684095646447,39.72033275093779,0.44363689229145853,0.0010420221360621395,1.0000000042741783,1.3621863494197028,1.8461538461538463
80,0.8869228760665167,10.22223101610683,1.3182089367835486,2.0652008151976524,49.640413784247016,0.07728801566849165,0.0015519703082433117,1.0000000000000004,1.0315080796693885,1.1052631578947367
81,1.3828430693709313,7.939833850017402,1.9563666687485641,4.2802176033615105,25.17201267593942,0.6194306385898061,0.00020418102395808603,1.0,1.3483018757566967,1.5970149253731343
82,1.3048164260472583,7.048818833960751,0.5188226260020349,7.519770679143852,45.89749142301314,0.24118956702904454,0.0023523738149778635,1.0,1.091547842153717,1.28
83,1.4154431389686486,9.820109904051812,1.952150544705516,3.529270163270285,28.205750035445178,0.32689963606202205,0.00021514095970706081,1.0,1.1091887204534943,1.1842105263157894
84,0.4471704499411415,7.6993567466819,1.4568547507543685,2.459512002816301,45.37416811880487,0.4825928404472856,0.0025466208894634724,1.2671027892614457,1.0150051151105488,1.217642373556352
85,0.8021302219852078,10.491633440437134,1.245798308716176,7.913032432291212,49.1542123639067,0.09718097900539717,0.0025091285462843084,1.0,1.0481658377014464,1.1578947368421053
86,0.6182833823082745,7.870343162884153,0.7472700142212844,6.837243711695095,38.013121182324426,0.12651979725324608,0.0026186406329600964,1.0,1.1026476693703657,1.2307692307692306
87,0.5676970875320401,8.879901321777842,0.7008200800416791,6.229449886022539,46.12934862950159,0.6339830131792015,0.0032555482350623867,1.2908200103744776,1.0039310854585548,1.2326203208556148
88,0.35065139080583846,5.790399279452315,0.7744697421378273,7.0899435330201985,22.703880199161745,0.5288779132794856,0.002672847644543161,1.996682822232772,2.935971739321875,2.442796610169492
89,0.9359558502291994,9.462279618283802,1.0226605670087858,4.578022196187302,20.910049888603854,0.6454534142109424,0.004150186822874206,1.0000000000000002,2.121410803456614,3.0
90,1.2230139182938626,10.40548060484619,1.021072210784811,7.989536301120814,14.90617818883372,0.5798631934281726,0.0013245741566105308,1.0,1.1659189561419607,1.28125
91,1.3349821073464028,6.86203469420248,1.063320635103497,7.016424005491455,16.511613997013697,0.5399730722016984,0.00040931206913977003,1.0,1.1449933749147987,1.2142857142857144
92,0.8673883520092298,6.57387317422788,0.5453014219974153,3.2179579574405146,46.72152612293439,0.2819681952634388,0.0037356835159982156,1.0000000000000098,1.3193385572178118,1.9305555555555558
93,0.8179973348086642,5.918976743009985,1.4441462592698011,3.6231421149493714,31.92342040394477,0.7883412749287649,0.0035345086724261326,1.5526992268011692,3.986217056986572,2.7144420131291027
94,1.0375343396403462,6.945243745370337,0.7129273954554483,5.314291874758359,48.560965097288516,0.1472009934860189,0.0012164718020265847,1.0,1.0606259483120979,1.1851851851851851
95,0.7657177313665549,6.833280600883428,0.611645457124919,5.912023233954182,25.759032139968262,0.5391699841594932,0.0016050844622031008,1.000000446030817,3.112505494652491,3.7939393939393935
96,1.3299657492442465,10.869171480151776,0.5575239935362706,2.3849896917234794,30.52693178387859,0.24034122937002383,0.0005251350574679714,1.0,1.0801019909692822,1.2352941176470587
97,0.8567886518960643,5.233037649038376,1.667437985752788,7.162615758195191,40.507988714075296,0.4675396180357176,0.002737754595794997,1.0010816694766713,3.2997788194348208,4.533653846153846
98,0.8755910383790906,7.685538798058795,1.6761180066287666,3.6504526507738193,14.841106139662443,0.09306811206408637,0.0044972907571792335,1.0,1.0223040626320503,1.0357142857142856
99,0.49813352939721084,10.331640377339662,0.5783576684828549,6.410487725047524,47.12708826763043,0.5089311730455686,0.0010465458464691934,1.0815061686436838,0.9495491040937069,1.0739232576350823
100,0.6772229127196709,8.919122688120495,0.8653367455565029,5.446495987769528,44.74730124684315,0.7047856378336752,0.0011476676419343423,1.1752532162242713,1.0236802471115873,1.158100558659218
101,0.5695238551401962,6.074845657912116,1.974169969510604,6.886709542493225,26.642318878961582,0.21643490232933765,0.004223981682087648,1.0000000000018945,1.234203389050013,1.4893617021276597
102,1.2280251601031584,11.10157448571105,0.9463574919807525,2.8953464540987026,40.10317817342195,0.1206149734701729,0.0009489440012658051,1.0,1.0380501147564656,1.076923076923077
103,0.3585251402676648,6.064660516450776,1.1469900163048912,7.723046553476112,29.736999839637477,0.7258088614244713,0.002468367970345545,1.0905336696039238,0.9482568009526874,1.0703160787906552
104,0.42620448199414923,11.93838279909846,1.6054045786341096,6.353241402381284,37.90994639448727,0.062016288358404156,0.001978140232966742,1.0,1.0621452048930573,1.1481481481481481
105,1.1558035499065247,9.149495800532177,1.3066827226787125,3.731152201794922,49.36994668456103,0.7952705701688526,0.002241737168648234,1.5840282758261561,4.577785677941491,3.081172491544532
106,1.086618991464037,11.606012694642754,1.2818683925082734,4.130590046475355,30.629636280983725,0.565156077015197,0.0025855659213161386,1.0,2.0460004592977676,3.6666666666666665
107,0.91727409832116,8.766599141474558,1.0976488826072777,5.423074641755593,17.279453212257074,0.2599752991325127,0.0017533048525236795,1.0,1.0888096992380982,1.1428571428571428
108,1.486954259943003,11.033617178708075,1.4492109294600866,2.2570511606226713,44.780524157875206,0.11419478392545239,0.004386691097561106,1.0,1.0278591233984522,1.1818181818181819
109,1.1738691167518238,10.202870642024685,1.4437033998134134,4.1393753890940115,11.90949601188311,0.2947267591447454,0.0011281932128932182,1.0,1.0445155289086294,1.032258064516129
110,1.0898574697825,4.527443443907471,1.8231424934711589,6.674337456611648,44.28954834373818,0.7528515081675411,0.004957539688672431,1.334771205922592,4.565650108319357,3.0213675213675213
111,1.1246455673427789,4.950431718470741,1.313512795560555,6.7248891413978775,15.684976144238956,0.6471639597078307,0.003851865889425486,1.0,1.2592359760488736,1.4456521739130435
112,0.326263566730787,4.18920697330501,0.7692254720697043,5.717553966032982,34.04474173875333,0.5864507194068802,9.15056770117928e-05,0.9925244627837565,0.982193839632677,1.0
113,0.8212244148992667,10.540739430300876,1.525064900601435,5.158651063980221,34.88874414501958,0.2339212375028249,0.0035697420849313674,1.0,1.1782712718249766,1.4000000000000001
114,1.4961714716175791,7.122732910668909,1.0119384791441348,7.689894916281473,37.630367930849445,0.6265101102417592,0.0026474001056577046,1.0,1.6001317346792887,2.980392156862745
115,1.4246221856543715,6.5966754987498115,1.1160088355976485,7.822473441210596,40.54445318886849,0.6829256743235654,0.0032962628429593663,1.000000000001415,2.766017624507414,5.9625
116,0.8271997508428732,7.781593256075903,1.6770838520073827,6.506678219599478,38.81674005458845,0.5353627383428273,0.0026199941084532573,1.0419340932386847,5.811693114704334,4.76241134751773
117,0.9222075583904936,7.089230216620197,0.8062596430525061,3.191433765036417,30.53082112914446,0.43829383746645195,0.0037053051458202264,1.0000000000002083,1.5889736399771455,2.3736263736263736
118,1.4899871793155501,9.659638778130816,1.1756340659318556,4.742227506371078,10.036712338181136,0.13561859169234552,0.0035110355611112577,1.0,1.0102368398688528,1.0
119,1.079975251664873,10.477255847089474,1.6305923696956706,3.463082211209689,16.910144335009978,0.08445219471891115,0.0027251867155510183,1.0,1.0186465392977138,1.0
120,1.1837220349863837,10.640572133515308,0.6043356867252123,6.960682190907287,15.306861075796805,0.17725808067480386,0.0024451679988442966,1.0,1.0340798369071806,1.0
121,0.6357490610059588,10.927981648126819,0.9139921847275522,7.052652144762145,32.91784010720877,0.6093815500925,0.004008054237497911,1.5492096538653757,4.313987628871813,2.9157509157509156
122,0.5575829788051601,11.738397148906031,1.653528859661059,3.0208879786335787,22.2337335707542,0.15453531124293374,0.0007254158980870873,1.0,1.1152763960108876,1.1923076923076923
123,1.4385354482554433,5.376305012826499,0.9677498034797823,5.456842624669834,49.25580269292925,0.3297842008044339,0.004620584527787931,1.0,1.1377086529361824,1.4090909090909092
124,0.5575823334808524,9.154836563722506,1.26922027484423,3.471856169490792,36.07306314675432,0.0884432188713574,0.0033403810526967575,1.0,1.0695464135550021,1.1578947368421053
125,1.3576891914442657,9.442447297275965,1.2128244300548416,4.3894378295907295,38.76184037651219,0.22514200786534194,0.0026040647224489033,1.0,1.0761932418030271,1.173913043478261
126,0.6768659355501689,8.489003751686404,1.3698715717810894,5.569118395730612,16.765352243466374,0.4539644636568035,0.0018297038726209419,1.0000000000000002,1.4557700449207158,1.8
127,0.8958769693438311,4.398315256997346,1.4585526262519115,6.522333672794055,20.37081142534934,0.44681152295718257,0.003478959345635851,1.0000000000000322,1.2906958125179728,1.5357142857142856
128,0.3366382383846898,5.153416869584021,1.5731226830600609,5.396519708792547,48.71949455556533,0.7770112557018208,0.004626511912900134,1.1490085309605222,0.9828426771701216,1.082891140054671
129,1.43425831232135,11.211804500859113,1.1488901001085112,2.7935617014997094,33.45464934450742,0.7825495035620325,0.004088467525199839,1.0000000000009641,3.283570049174909,4.965909090909091
130,0.9598718214602544,11.879614184197845,0.8135471128811955,4.556265132105565,38.323124008165195,0.22972802624535943,0.00013706379149888427,1.0,1.137314830816104,1.36
131,0.978454316276907,7.552901886669838,1.555942638669869,4.109670575943879,16.68216054645419,0.5484940886094349,0.0017026732029627783,1.0,1.2837462106957311,1.4252873563218391
132,0.6529100583462002,4.492283992646105,0.8931942092019169,5.606899875566636,25.26911445127219,0.20045710196762273,0.004690446312830048,1.0000000000000404,1.148910735367471,1.2941176470588236
133,1.152645044169701,9.336468005316755,1.6796429541608509,4.83308700675208,15.643705442921556,0.20339135228639688,0.0019439180419790376,1.0,1.0427473904940907,1.076923076923077
134,1.3960104929218593,6.974820487688277,0.8716335963256394,7.118395469784556,20.83814433583899,0.17269179752950076,0.0020048093128738793,1.0,1.0376363733413474,1.0526315789473684
135,1.0596720310005947,11.633913885682631,1.030752851924866,5.702726951970038,40.44222682588081,0.5899475284268413,0.0016862031373308124,1.0000010161802366,6.680741085653339,8.670103092783506
136,0.4120173981296317,6.986031283949915,1.4313250680072787,3.060028547871573,15.324663301645742,0.581417734909241,0.00013664633360105705,1.1763614670417752,2.7409641080980127,2.048582995951417
137,1.4986859810300015,6.527062164400289,1.356449289679225,3.6688548622495074,40.45636252561733,0.5731357193472942,0.0009372120055868749,1.0,1.472677415455572,2.2
138,0.9512100695988861,4.369578156683529,1.031916145861691,7.097733079560002,20.821279023169016,0.39771308006516315,0.001218382918251641,1.0,1.2095846255341336,1.3928571428571428
139,0.3643615531306932,4.3848569208255475,1.7922882755703433,4.906079385187708,17.799701151733966,0.12458022557205077,0.002400546715191162,1.0000001430542085,1.1144661236856468,1.1824324324324325
140,0.33326566370888033,9.264814918538905,1.5797094717887408,5.571329046689167,18.91237910096504,0.28107424360233363,0.000972942886499657,1.0000248532878666,2.0608401174829885,2.329268292682927
141,0.5721827490553346,5.93383918948504,1.6107752001857794,3.5318687555213133,36.56259658646745,0.5885610939863608,0.0027942883849830925,2.017535221088584,2.5652381593529037,2.2960048426150124
142,1.0374534270574929,4.00053948558679,1.0268244709538956,3.0149387613270777,19.193066294254105,0.32204892666297663,0.00046911350574314946,1.0000000000000016,1.1149752794871706,1.1685393258426966
143,0.5411352205737873,9.213058929234037,1.5630801819960152,4.971334493392777,11.984264619593464,0.6643706068475582,0.0033913672469083086,1.0000000072866668,1.796401353399155,1.515406162464986
144,0.3039067313905833,11.598649743275665,1.970614652208361,2.5031429252271007,22.185629223164526,0.41999836525644535,0.0006349811645325809,1.8724454862093503,3.4595023184863685,2.7107081174438687
145,1.3261180967042991,10.01302716291956,0.7957504060515284,6.910812572609091,13.042067978642923,0.6289247461353233,0.002228004330790268,1.0,1.1313921617421574,1.2258064516129032
146,0.5121281042412117,4.447421521216771,0.9892837515538861,4.753852154336436,30.270305736978543,0.05983671070726758,0.003517198044451802,1.0000000000001081,1.0438084994426993,1.0925925925925926
147,0.8985690737263177,7.798987900531666,1.9987951553065348,2.2980929782363853,17.911347934498572,0.27868412537302634,0.002331640783935323,1.000000000000045,1.1071406939223605,1.1294117647058823
