model,metric,spearman_rho,p_value,n_trains
Linear,peak_km,0.928695158646478,8.352553443944783e-260,600
Linear,auc_km_ms,0.8053203400536078,6.662378118321864e-138,600
Michaelis-Menten,peak_km,0.9271874651115483,3.451644730585208e-257,600
Michaelis-Menten,auc_km_ms,0.9283021731059683,4.066740236418251e-259,600
Transporter-state,peak_km,0.9469244076931349,6.250964459567312e-297,600
Transporter-state,auc_km_ms,0.9779779943833177,0.0,600
