pattern,uptake_factor,metric,mean,sd,sem,ci95_low,ci95_high
Tonic,0.5,peak_ngu,1.6373227852647847,0.13476764909668434,0.007780813848402373,1.622072390121916,1.6525731804076533
Tonic,0.5,auc_ngu_ms,609.4827325123828,41.30273557686732,2.384614550357228,604.8088879936826,614.156577031083
Tonic,0.5,excess_auc_ngu_ms,38.36839589728386,14.395032356179035,0.8310975805833338,36.739444639340526,39.997347155227196
Tonic,0.5,time_above_ms,193.91583333333332,39.3608557349326,2.272500065409736,189.46173320513023,198.36993346153642
Tonic,0.5,near_saturation_ms,0.010833333333333334,0.14632958248850353,0.008448342384014306,-0.005725417739334705,0.027392084406001372
Tonic,0.5,clearance_ms,68.99416666666667,5.768289885187296,0.33303237179766804,68.34142321794324,69.6469101153901
Tonic,0.75,peak_ngu,1.3691228592247386,0.1023411129017861,0.0059086669083012085,1.3575418720844683,1.380703846365009
Tonic,0.75,auc_ngu_ms,342.3718507673896,18.246165377541764,1.0534428492402166,340.3071027828788,344.4365987519004
Tonic,0.75,excess_auc_ngu_ms,4.905964245122562,2.3344906877150167,0.13478188269729394,4.641791755035866,5.170136735209258
Tonic,0.75,time_above_ms,42.30833333333333,13.0269343008945,0.7521104025337008,40.83419694436728,43.78246972229938
Tonic,0.75,near_saturation_ms,0.0,0.0,0.0,0.0,0.0
Tonic,0.75,clearance_ms,40.7675,3.491075877999958,0.20155735979246847,40.37244757480676,41.16255242519323
Tonic,1.0,peak_ngu,1.3267782844151808,0.09956729468482396,0.0057485204388765905,1.3155111843549827,1.3380453844753788
Tonic,1.0,auc_ngu_ms,249.62272714690073,12.525038567842016,0.7231334388754032,248.20538560670494,251.04006868709652
Tonic,1.0,excess_auc_ngu_ms,2.581969412464789,1.2938778582091421,0.07470207297355445,2.4355533494366224,2.7283854754929555
Tonic,1.0,time_above_ms,24.108333333333334,7.906271412474695,0.45646879282785074,23.213654499390746,25.003012167275923
Tonic,1.0,near_saturation_ms,0.0,0.0,0.0,0.0,0.0
Tonic,1.0,clearance_ms,29.9725,2.627253372684282,0.15168454419486224,29.67519829337807,30.26980170662193
